Year,Crop_Type,Region,Soil_Moisture,Humidity,Temperature,Rainfall,Solar_Radiation,Fertilizer_Residuals,Pesticide_Use,Yield
2023,Soybean,Uttar Pradesh,31.36986428,52.22948622,31.76306998,778.0023613,7.583215513,256.3037364,359.7083831,5998.662438
2023,Soybean,Tamil Nadu,17.62080677,64.13528435,30.5693737,1149.206824,6.52748326,85.68046349,269.3597764,4483.037922
2023,Soybean,Gujarat,6.009793177,82.90253818,24.34855767,477.3386731,6.358896351,127.385498,265.9542946,5806.244894
2023,Soybean,Odisha,15.38584653,86.51433524,27.49026721,1457.484248,4.971705732,192.2767451,394.7451011,2915.854696
2023,Sugarcane,Haryana,28.88501538,74.37379489,31.5136901,963.9478704,3.006422128,111.49815,221.7808305,5107.170484
2023,Sugarcane,Punjab,25.25230889,35.19718565,29.58253183,895.1680537,3.600796294,174.2851159,402.5673264,5033.750693
2023,Wheat,Chhattisgarh,18.20874147,70.14924933,39.28716625,1069.907388,5.672772724,252.3357072,238.2496138,4693.938021
2023,Rice,Haryana,6.450564329,54.61822331,22.46092299,1119.723825,6.375649429,167.6344837,209.7484883,5948.644908
2023,Soybean,Rajasthan,17.26490059,58.24205997,33.5033258,411.8732086,5.087241419,287.244336,255.365558,3328.787345
2023,Wheat,Karnataka,18.49034066,32.94890342,27.7553611,1193.750555,6.653395058,261.8751551,367.2553802,2125.12042
2023,Rice,Gujarat,31.85669178,41.46372836,28.22734905,629.6728208,5.609311477,133.2598088,136.3911132,4602.591666
2023,Maize,Madhya Pradesh,23.49507803,77.43081645,33.94709755,1233.859899,3.370880978,149.9905311,161.9342697,4866.37523
2023,Sugarcane,Bihar,13.91286585,57.23752998,33.44979615,1372.845126,3.960081255,155.8316818,435.8125357,4159.99075
2023,Rice,Telangana,20.12774273,48.0997345,39.35575769,1349.067468,7.199991116,206.5448632,154.3429886,2473.623049
2023,Maize,Uttar Pradesh,6.769176351,53.04114444,22.30191014,1027.201679,6.624563733,121.6989323,296.6227065,3836.656772
2023,Rice,Chhattisgarh,33.13688781,81.2639708,21.82194151,985.8178849,7.473809935,292.3122847,300.8258331,2956.173505
2023,Sugarcane,Tamil Nadu,15.32087823,74.93994104,34.08032964,502.8814462,3.587786246,202.1710552,268.291648,3484.083681
2023,Sugarcane,Telangana,18.7475397,46.33892383,31.1956942,1312.443635,7.951112673,149.8504147,324.5602188,4481.279388
2023,Wheat,Uttar Pradesh,15.18196098,37.05011041,25.18287885,667.4042932,4.04703357,211.2524539,174.0525221,4939.211928
2023,Soybean,Maharashtra,24.70002385,45.1198933,21.33395569,955.7705511,3.058899381,148.8512526,291.1580047,2589.973504
2023,Rice,Andhra Pradesh,24.11015262,85.24538706,21.45726272,683.8711322,7.987114695,254.4489202,225.6873543,3382.688183
2023,Rice,Tamil Nadu,25.65438412,64.89533027,37.43733469,491.3005153,4.405369427,191.9602401,330.6985153,2759.125981
2023,Maize,Tamil Nadu,12.64730103,62.00881252,23.55640951,1125.834335,6.340097263,60.49262585,141.9125713,2436.133976
2023,Sugarcane,Punjab,14.02966644,65.78361598,26.15549718,389.5451716,3.883411571,94.18921686,297.7653745,5114.022824
2023,Rice,Rajasthan,8.491006207,51.96169594,24.24399087,1278.266448,5.901142661,266.2484933,157.890128,5690.423882
2023,Sugarcane,Madhya Pradesh,23.91462461,78.42642122,26.78053774,726.5114095,7.520174932,190.7249566,191.7601781,3221.978956
2023,Rice,Madhya Pradesh,6.005405526,61.39717496,21.13640122,320.1725443,4.600905837,287.5858691,170.0199645,4966.982854
2023,Wheat,Odisha,22.23259407,37.00487417,30.02313577,974.245716,6.35126988,68.10557822,157.0077346,5634.291084
2023,Soybean,Chhattisgarh,30.14464315,37.74390749,21.10060258,379.9706059,3.939517944,123.8151575,390.2037842,5401.326931
2023,Rice,Punjab,30.75943295,62.21154879,35.5827652,673.4973228,6.123976994,98.38584331,194.3227591,2363.694398
2023,Sugarcane,Uttar Pradesh,17.90897424,86.19421308,24.38344136,1224.930429,4.682251759,188.4600731,426.9903113,5905.839884
2023,Wheat,West Bengal,18.20757894,48.5011273,30.43723958,400.2428873,4.056041293,145.6982078,442.5165942,3251.490426
2023,Rice,Gujarat,7.086627876,82.17247013,37.15842526,1394.353868,4.565910254,89.31838352,297.9043234,3080.05324
2023,Maize,Haryana,24.35834784,75.84573519,32.62841639,324.8896403,3.894205343,210.6879785,142.557371,1812.404635
2023,Soybean,West Bengal,28.73577332,44.86874657,30.29781976,635.9348253,7.509580539,184.0745914,226.5488583,3752.933019
2023,Rice,Maharashtra,11.96410126,32.1804449,26.1745142,1268.357736,4.985934432,118.6840628,380.0547846,2025.728269
2023,Wheat,Madhya Pradesh,17.10219257,36.11083591,26.34583422,724.8261025,4.226396525,169.9428394,223.9525388,2664.688657
2023,Maize,Haryana,29.24711976,73.70963603,32.99622162,450.4224499,5.242039205,236.4345788,122.2497491,2977.939348
2023,Wheat,Rajasthan,30.36060175,41.98018428,39.4127454,781.099751,4.602680834,101.3179186,292.6534538,5230.521222
2023,Wheat,Andhra Pradesh,11.92119582,52.27625523,32.84506898,666.1036922,6.722096269,123.2264367,397.2445384,5535.801411
2023,Maize,Chhattisgarh,20.86225758,60.10194996,30.78848069,1398.671835,7.856099559,136.5277468,379.3997204,2911.645098
2023,Wheat,Uttar Pradesh,10.44686969,73.52809011,34.20507576,721.0856437,5.190168283,236.6816093,154.2093234,5458.909167
2023,Maize,Rajasthan,7.811172036,36.7938734,28.95874625,1329.834134,7.305167,261.7306499,334.7239739,5452.190197
2023,Rice,Rajasthan,31.3495596,54.38198432,20.95295898,1461.596972,5.829315368,144.0971241,170.6708887,5028.220059
2023,Maize,Karnataka,28.71390236,59.10437455,30.8776848,875.2866724,3.786178325,124.1552155,169.8377724,2198.290726
2023,Maize,Tamil Nadu,26.95493778,62.44962384,38.69107065,1484.727861,6.45311371,272.3616896,407.7462063,4687.83444
2023,Soybean,Gujarat,6.266292101,79.10163848,23.22902628,802.9674534,5.567172486,299.841233,181.2500987,5854.238905
2023,Maize,Haryana,29.3893392,40.3006917,33.40174402,1554.02104,6.253032616,217.5884099,186.1755303,4652.195077
2023,Maize,Tamil Nadu,17.58920131,78.46988711,23.73559974,434.2907776,7.448437063,297.4951537,90.92210268,3045.139986
2023,Rice,Rajasthan,14.8070634,71.57270566,30.35454125,1199.385175,5.202172853,214.9915695,406.5118955,3818.903768
2023,Soybean,Chhattisgarh,20.74316759,63.35224885,21.67502961,952.0823801,7.505888116,233.365068,378.191224,4483.598756
2023,Sugarcane,Punjab,7.505016544,71.97167222,28.66554944,816.190821,6.753345071,147.1640004,318.2426189,3864.65798
2023,Rice,West Bengal,26.85638088,54.72106434,34.70931847,1129.871689,5.443024629,158.2418867,362.8367692,2075.824923
2023,Rice,Karnataka,21.78909756,38.30385516,26.63379221,1220.937601,6.016110678,86.033916,145.8392445,2955.597899
2023,Sugarcane,Tamil Nadu,10.27516776,69.94591442,32.90579544,325.5851248,4.627905663,255.6875037,256.9375599,5201.07369
2023,Maize,Maharashtra,10.32293155,61.4803384,35.48579079,533.7001825,7.917986499,282.7647577,218.0865405,5471.365065
2023,Wheat,Haryana,10.20706222,68.36248803,38.08929818,1232.699473,6.336755815,205.8595334,124.7016229,2155.265942
2023,Soybean,Odisha,6.505854359,50.27992686,24.40182215,1172.973832,3.219234262,135.9118271,267.0242415,5887.956341
2023,Wheat,Haryana,21.9451018,84.41199464,27.65648329,1556.541474,4.633109529,88.50408134,424.6745291,3032.343801
2023,Sugarcane,Andhra Pradesh,29.29100736,65.24219211,22.77668242,1294.128927,6.116572169,116.2890574,105.216151,4559.566702
2023,Rice,Andhra Pradesh,5.356797773,35.12414906,39.38001852,1536.989725,3.281666389,113.8526052,196.4097299,4969.484276
2023,Rice,Gujarat,6.273224286,56.98823944,38.08580283,1219.252365,3.119420957,203.381971,165.9685666,5244.808858
2023,Soybean,Telangana,21.50797784,75.38136328,30.43615681,701.5071279,5.250121198,286.2593663,177.0704958,5857.561964
2023,Rice,Haryana,28.68447162,77.6480737,36.40647723,454.8672955,4.663450898,62.06797174,420.2109732,2959.515678
2023,Rice,Maharashtra,14.35167107,59.67582317,30.06065207,1320.735111,5.19149304,50.2555749,260.4726315,5458.031429
2023,Soybean,Tamil Nadu,15.01705022,83.68485425,32.08901574,1144.511494,4.313466549,200.0454861,259.8307111,2129.560611
2023,Soybean,Tamil Nadu,22.19373859,46.06010623,21.52576935,381.6782595,3.823588735,121.0151155,366.5765783,4755.235807
2023,Sugarcane,Rajasthan,12.82384901,54.63592183,34.69167077,780.8649312,6.445716785,270.1370856,146.7256501,4924.388023
2023,Rice,Tamil Nadu,5.621784465,83.91581463,22.2884545,1544.704426,5.572855581,131.812577,267.4359043,4630.134534
2023,Rice,Maharashtra,26.23339532,83.77540299,36.09092724,960.5138784,4.000771056,122.4344001,246.6580854,2681.975885
2023,Sugarcane,Andhra Pradesh,23.04608606,71.14276613,35.22051702,873.8936689,4.597947131,117.3776553,307.2086938,5524.602226
2023,Maize,Rajasthan,21.74025828,81.53883283,33.77212297,905.8558831,5.959039538,86.21320682,453.2650185,2299.787805
2023,Maize,Uttar Pradesh,26.42116946,35.32639602,20.47897256,587.3701386,3.361146741,195.3826186,369.7952648,1772.120892
2023,Maize,Maharashtra,24.48824477,81.89969857,25.75540462,791.9455183,3.737265046,92.05340058,235.0070422,4812.131912
2023,Sugarcane,Punjab,10.83631036,49.23719439,24.96452108,793.3613079,3.366228021,156.1577899,390.8719884,3703.941798
2023,Rice,Bihar,15.10043232,40.69989075,26.88212819,387.0145918,7.061586664,165.2430131,152.6079056,5414.945494
2023,Sugarcane,Tamil Nadu,8.515989311,44.36219018,21.4964849,1302.487123,6.762046166,55.12301172,101.7355002,3282.267881
2023,Sugarcane,Andhra Pradesh,8.624974445,55.07811048,38.28259299,853.1260387,6.766564659,54.20181996,164.8467689,2297.132268
2023,Maize,West Bengal,24.51631104,45.07152028,30.70979556,1372.390844,6.581626717,180.0531722,214.1661039,5356.98812
2023,Wheat,Haryana,29.82190063,49.23405516,25.80275896,1408.446045,6.346927118,224.0086831,275.8933422,4040.232487
2023,Rice,Haryana,32.85079853,38.09870916,27.61034556,591.3526436,5.384959577,285.5356206,313.817261,2392.922622
2023,Maize,Tamil Nadu,23.12453957,47.77060593,28.60292835,1161.412955,6.211390818,94.77982104,420.9985425,4825.499512
2023,Wheat,Punjab,10.20277689,64.33702887,31.63460798,924.5211058,3.191807774,75.81470236,275.6297214,3867.145701
2023,Wheat,Haryana,7.920875897,56.51122249,29.95632529,1446.601245,6.107322113,63.02197673,272.5180022,4293.952184
2023,Soybean,Andhra Pradesh,28.49119704,50.80312567,37.93541646,596.148325,6.889388528,159.0103957,108.9102592,3637.184686
2023,Rice,Gujarat,21.68209823,74.78712773,29.58641796,1187.601406,5.501791802,205.7868418,103.3489209,5321.573884
2023,Wheat,Tamil Nadu,22.8318637,83.61059828,39.3735855,1097.923187,4.787566642,260.1383392,290.6130577,5325.48355
2023,Maize,Rajasthan,27.57818965,75.40735337,36.59209677,697.9861906,4.387133674,220.6612206,249.630162,4775.14709
2023,Soybean,Karnataka,25.30402919,49.92004213,23.88535031,494.8493689,6.214010251,102.0901973,395.089695,2009.18602
2023,Rice,Haryana,29.11968732,74.66653007,38.15684056,1154.099388,6.464005993,165.4425916,148.9700628,5368.032363
2023,Sugarcane,Maharashtra,6.482919807,39.11881095,22.06418742,1265.405289,7.354837999,277.5865866,99.74332133,4599.404888
2023,Maize,Punjab,26.59093576,37.81907929,35.92060015,724.0033105,4.711670412,131.6852656,253.5695785,4718.523137
2023,Wheat,Tamil Nadu,29.59655373,50.73762222,27.28703691,1145.386224,6.848861537,174.6825913,176.82815,3188.780572
2023,Wheat,Uttar Pradesh,13.17062829,78.46214214,37.11682603,825.7679159,5.806779121,289.6413337,108.6822274,5553.161867
2023,Maize,West Bengal,23.47649641,44.78089483,36.92081113,1232.905339,7.414182453,233.6770014,353.5261392,4848.340239
